district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"JAGTIAL","MALLAPUR","Sirpoor",37,78.68539,18.933305,271.7,3.9,1,2,.044412237,318
"JAGTIAL","GOLLAPALLE","Vengalapur",1,79.0151707,18.8095915,210,4.6,0,2,.044585265,284
"NAGARKURNOOL","BALMOOR","Kondanagula",1,78.5977295,16.3323158,477.1,3.9,0,1,.044653296,109
"KARIMNAGAR","GANGADHARA","Gangadhara",6,79.0123462,18.581555,343.2,3.9,0,0,.045421589,226
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Kodur",2,77.9132424,16.6864254,349.987,6.055,0,0,.04583073,68
"PEDDAPALLI","MANTHANI","Nagaram",2,79.61335440000001,18.6755959,86.483154296875,3.9,0,0,.046597589,352
"NAGARKURNOOL","BALMOOR","Kondanagula",1,78.5909319,16.3325304,401.216796875,3.684,0,1,.047107946,108
"JAGTIAL","MEDIPALLE","Kacharam",12,78.8126663,18.7452705,322.8,3.9,0,0,.04727092,328
"KARIMNAGAR","GANNERUVARAM","Pechupally",4,79.0779861,18.3184751,224.6,4.496,0,0,.047554892,235
"KARIMNAGAR","GANNERUVARAM","Kasimpeta",2,79.0482217,18.3519431,230.3,3.9,0,0,.047730234,233
"JAGTIAL","KODIMIAL","Kondapur",12,78.89625959999999,18.6177864,430.4,3.64,0,0,.047745861,21
"WANAPARTHY","PANGAL","Remuddula",3,78.1708987,16.3364179,367.5,3.9,1,0,.048205867,177
"KARIMNAGAR","THIMMAPUR","Parlapally",14,79.2103245,18.2777045,290.4,3.9,1,1,.048532549,262
"KARIMNAGAR","KOTHAPALLY","Chinthakunta",8,79.08542679999999,18.4544433,298.3,3.9,0,0,.049194243,248
"WANAPARTHY","PEBBAIR","Buniyadpur",3,77.9906211,16.1716754,220.686,5.808,1,0,.049416251,188
"WANAPARTHY","PEBBAIR","Sugur",3,77.99045959999999,16.1398736,194.2,2599.999,1,4,.049788315,5
"JAGTIAL","DHARMAPURI","Rayapatnam",3,79.1415221,18.8884005,167.1,3.9,0,0,.049857467,41
"KARIMNAGAR","CHIGURUMAMIDI","Sundaragiri",6,79.1973833,18.211935,342.5,3.9,0,1,.050302543,215
"NAGARKURNOOL","KOLLAPUR","Chinthalapally",14,78.25607479999999,16.1197544,231.128173828125,3.9,1,2,.050435916,125
"JAGTIAL","MALLAPUR","Regunta",4,78.7537514,18.9456635,234.8,3.9,0,0,.05065988,321
"KARIMNAGAR","CHIGURUMAMIDI","Lambadipalli",11,79.1783928,18.2166183,333.5,3.48,0,1,.050994325,210
"NAGARKURNOOL","BIJINAPALLY","Gouraram",22,78.1311067,16.578555,474.7,3.32,0,0,.051154535,115
"JAGTIAL","BEERPUR","Thungur",5,78.9862236,19.0100506,207.3,3.9,0,0,.051262263,265
"JAGTIAL","METPALLI","Athmakur",8,78.6189036,18.7412017,335.7,3.9,0,9,.051336247,24
"JAGTIAL","KORUTLA","Dharmaram",4,78.7120209,18.8911721,280,3.5,0,0,.051369939,306
"KARIMNAGAR","GANNERUVARAM","Kasimpeta",5,79.0484506,18.3518227,228.9,4.134,0,0,.051394291,233
"JAGTIAL","GOLLAPALLE","Rapalli",7,79.0344382,18.8160221,149,3.759,0,0,.051480684,277
"KARIMNAGAR","THIMMAPUR","Parlapally",2,79.2102759,18.2776153,296.1,3.9,0,0,.051581439,262
"WANAPARTHY","PEBBAIR","Sugur",9,77.99045959999999,16.1398736,194.2,2599.999,1,4,.051728051,5
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",51,79.16996330000001,18.4629522,0,1838.919,1,3,.052563168,246
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Machanpalle Tanda",1,77.9357447,16.750558,461.8,4.323,0,1,.053037547,61
"WANAPARTHY","PEBBAIR","Buniyadpur",5,77.9907106,16.17133,214.855,18.101,1,0,.053079054,188
"PEDDAPALLI","ODELA","Jeelakunta",7,79.4750026,18.4340851,142.8,4.495,0,0,.053167179,26
"JAGTIAL","PEGADAPALLE","Yellapur",3,79.1082557,18.6713717,287.3,3.9,0,0,.053245824,336
"JAGTIAL","GOLLAPALLE","Thirumalapur",1,79.0876658,18.7766247,214.5,3.9,0,1,.053569231,286
"WANAPARTHY","WANAPARTHY","Peddagudem",1,77.98450200000001,16.3159552,268.4,3.9,0,1,.053769112,194
"PEDDAPALLI","SULTANABAD","Kandunuripalli",6,79.3303693,18.5500427,159.1073608398438,4.424,0,0,.053963624,362
"NAGARKURNOOL","ACHAMPET","Chandapur",1,78.7170569,16.4463584,411.1,3.9,0,1,.054512005,95
"KARIMNAGAR","THIMMAPUR","Parlapally",8,79.21110520000001,18.2774182,294.6,3.9,1,0,.054854181,262
"WANAPARTHY","GOPALPET","Munnanoor",3,78.11647262424231,16.35469478719635,0,0,0,0,.05505839,172
"KARIMNAGAR","KARIMNAGAR RURAL","Gopalpoor",2,79.16996330000001,18.4629522,0,1214.57,1,0,.055306017,246
"JAGTIAL","MALLAPUR","Gundam Pally",4,78.7117631,18.9199827,300.2,3.9,0,0,.055312812,323
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Oblaipalle",4,77.8834112,16.6602563,336.823,5.96,0,1,.055734985,64
"KARIMNAGAR","KOTHAPALLY","Chinthakunta",14,79.0852474,18.4546365,299.8,3.9,0,0,.05581836,248
"NAGARKURNOOL","BALMOOR","Kondareddypally",5,78.5405684,16.3751325,384.8952026367188,4.56,0,0,.056104705,100
"MAHABUBNAGAR","MAHABUBNAGAR RURAL","Oblaipalle",15,77.8916811,16.6612512,339.687,4.766,0,2,.056615915,65
"JAGTIAL","IBRAHIMPATNAM","Eradandi",8,78.56996119999999,18.9526108,297.6,3.9,0,0,.056687858,290
"JAGTIAL","METPALLI","Chowlamaddi",7,78.64044629999999,18.8327106,254.1999969482422,3.396,0,1,.056697186,25
"WANAPARTHY","WANAPARTHY","Chimanguntapally",5,78.0920643,16.4168884,326.988,4.319,1,0,.056747276,193
"PEDDAPALLI","PEDDAPALLE","Cheekurai",7,79.361738,18.6305951,154.3,3.99,0,2,.056957904,357
"WANAPARTHY","PANGAL","Remuddula",9,78.1711766,16.3363507,366.6,3.9,1,0,.056973565,177
"MAHABUBNAGAR","NAWABPET","Pallegadda",6,78.0234219,16.9194527,550.511,4.92,0,3,.057159547,74
