c3_crop_name_kharif,crop_name,varities_grown_khrf,varities_grown_rabi,varities_grown_khrf23,plant_date_kharif,plant_date_rabi,plant_date_sumr,plant_date_kharif23,key,crop_area_kharif23,crop_area_kharif,crop_area_rabi,crop_area_summer
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,25jun2022,28dec2022,,28jul2023,uuid:086676f4-aeef-4281-bb1b-babd8bb3de84,2,2,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:0869b81d-141f-47cc-85e9-34dec9057fd7,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:0869b81d-141f-47cc-85e9-34dec9057fd7,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),1 12,28jan2022,30nov2022,,30jul2023,uuid:0869b81d-141f-47cc-85e9-34dec9057fd7,1.5,1.5,1.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,30may2022,30nov2022,,30may2023,uuid:086d4799-7218-4cf5-8d5a-7aac27142c94,7,7,7,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,20jul2022,20dec2022,,20jul2023,uuid:08740ea3-8f71-49f2-a018-a23c098254f6,2.5,2.5,2.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,20jul2022,20dec2022,,20jul2023,uuid:08740ea3-8f71-49f2-a018-a23c098254f6,2.5,2.5,2.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),9,Jagtial Rice-1 (JGL 24423),1,27jun2022,12dec2022,,27jun2023,uuid:0882852e-9426-4269-8287-f1aa0250b108,5,5,5,0
,,,,,,,,,uuid:08851084-c6a6-4f8a-9dd4-e010d9c5fb4d,,,,
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),32 39,Cotton Dora Sannalu (MTU 1010),32,10jul2022,15dec2022,,20jul2023,uuid:08b90b7d-ed87-46d4-b3e8-0ca79c175dbd,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),13 32,Cotton Dora Sannalu (MTU 1010),32,20jul2022,15dec2022,,10jul2023,uuid:08b90b7d-ed87-46d4-b3e8-0ca79c175dbd,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),1,24jul2022,20jan2023,,12aug2023,uuid:08e8b306-d996-48b7-a650-54a7e3ad5243,1.75,2,1.5,0
1012,వెదజల్లిన పధ్ధతి లో  వరి  (paddy),1 12,Cotton Dora Sannalu (MTU 1010),1,20jul2023,20jan2023,,17aug2023,uuid:08e8b306-d996-48b7-a650-54a7e3ad5243,1.75,1.75,1.75,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,01jul2022,02dec2022,,01jul2022,uuid:0919fd63-5a3b-43a1-a1dc-95cfed7d44a1,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,20jun2022,20dec2022,,20jun2023,uuid:091bbd3c-351b-454f-8cac-c441103c1c66,1.5,1.5,1.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:091bbd3c-351b-454f-8cac-c441103c1c66,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,06jul2022,21dec2022,,20jul2023,uuid:092537dc-acf5-48b2-aa25-a6f5bbd81b85,3,3,2,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,15aug2022,,,16aug2023,uuid:0982482f-d0a7-40c3-8910-569f3ecc6628,2,2,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,21jul2022,03jan2023,,13jul2023,uuid:09832b4d-6f91-4563-990d-cf721ddac097,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,19jun2022,,,19jun2023,uuid:09b0ad35-8764-4fd7-aaa9-ef144d794fbd,1,1,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:09b0ad35-8764-4fd7-aaa9-ef144d794fbd,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,16jul2022,10dec2022,,16jul2023,uuid:09bcdbac-6217-4439-b639-e28b96476c68,4,6,4,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,19jul2022,,,24jun2023,uuid:09bcdbac-6217-4439-b639-e28b96476c68,4,6,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,27jul2022,29dec2022,,25jul2023,uuid:09bed60e-264e-4e17-9a92-11aaeb3b575a,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:09c755f0-d228-4631-9add-91fb3330eb32,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),22,Cotton Dora Sannalu (MTU 1010),12,19may2022,26dec2022,,19jun2022,uuid:09c755f0-d228-4631-9add-91fb3330eb32,1.125,1.125,1.125,0
1101,పత్తి,,,,,,,,uuid:09e45536-969b-48a8-8dec-00c4833ccb1e,1.5,1.5,0,0
